"AppellationDorigineControlee","Lait","Type","AireDeProduction","AnneeDobtentionDeLAOC","CI","Departement","Commune","Aire geographique","IDA"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89144","YONNE","Domats","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89143","YONNE","Dollot","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89136","YONNE","Cuy","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89126","YONNE","Courtoin","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89100","YONNE","Cheroy","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89093","YONNE","Chaumont","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89074","YONNE","Champigny","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89054","YONNE","Brannay","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89036","YONNE","Belliole","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94081","VAL-DE-MARNE","Vitry-sur-Seine","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94080","VAL-DE-MARNE","Vincennes","BriedeMeaux","1459"
